Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,12290_3#46,12378_2#16,13415_4#43,14324_6#51,14936_5#23,14936_5#5,14936_6#28,15277_3#70,15378_2#88,15531_4#29,16288_3#68,16288_4#49,16288_6#83,16288_7#67,17870_7#145,17870_7#82,17870_8#103,18456_1#108,18456_1#116,18456_1#91,19341_3#53,9789_2#24,9789_2#39,9789_3#1
group_8416,,hypothetical protein,4,4,1.0,361,5,553.0,1.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_8475,,hypothetical protein,4,4,1.0,1,2017,1.0,3525.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_8534,int2,ICEBs1 integrase,4,4,1.0,1,4991,1.0,6198.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_8535,,hyptothetic protein,4,4,1.0,1,4990,1.0,6208.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_8536,,replication initiator protein,4,4,1.0,1,4989,1.0,6209.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_8537,immR_1,putative transcriptional regulator,4,4,1.0,1,4746,1.0,6210.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_8538,,cytoplasmic protein,4,4,1.0,1,4747,1.0,6211.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
ycgJ,,SAM-dependent methyltransferase,4,4,1.0,1,4748,1.0,6212.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_8540,,hypothetical protein,4,4,1.0,1,4749,1.0,6213.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_8717,,sortase-like acyltransferase,4,4,1.0,1,8928,601.0,1.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_8784,,hypothetical protein,4,4,1.0,1,1810,1.0,3413.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_8827,,FIG00529559: hypothetical protein,4,4,1.0,1,10289,1.0,2096.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_8830,folC_1,folylpolyglutamate synthase,4,4,1.0,1,540,1493.0,1.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_8920,,hypothetical protein,4,4,1.0,1,1172,1.0,1283.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9055,,Phage protein,4,4,1.0,1,2318,1.0,5169.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9058,,phage protein,4,4,1.0,1,5244,1.0,4169.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9129,,phage protein,4,4,1.0,1,5224,1.0,4107.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9130,,major tail protein,4,4,1.0,1,5216,1.0,4109.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9171,,hypothetical protein,4,4,1.0,1,7265,1910.0,1.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9189,,Phage protein,4,4,1.0,1,4044,1.0,3569.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9396,ssb1,phage single-strand DNA binding protein,4,4,1.0,1,1822,1.0,3277.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9450,,hypothetical protein,4,4,1.0,1,5211,1.0,4134.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9503,,phosphorylase Pnp/Udp family protein,4,4,1.0,1,7741,1.0,5195.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9506,,hypothetical protein,4,4,1.0,1053,3,944.0,2.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9564,,hypothetical protein,4,4,1.0,1,2000,1.0,3517.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9722,,transposase,4,4,1.0,678,1,1284.0,1.0,Investigate,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9729,,hypothetical protein,4,4,1.0,1,3129,1.0,116.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9737,,hypothetical protein,4,4,1.0,1,3107,1.0,7215.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9865,,hypothetical protein,4,4,1.0,1,4048,1.0,4985.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9866,,hypothetical protein,4,4,1.0,1,2538,1.0,4986.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9867,,phage protein,4,4,1.0,1,2019,1.0,4993.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9868,,DNA complete genome,4,4,1.0,1,2557,1.0,5013.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9869,,phage protein,4,4,1.0,1,2556,1.0,5021.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9870,,hypothetical protein,4,4,1.0,1,2255,1.0,5019.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9871,,hypothetical protein,4,4,1.0,1,2250,1.0,5155.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9872,,hypothetical protein,4,4,1.0,1,2249,1.0,5154.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9873,,hypothetical protein,4,4,1.0,1,2436,1.0,4845.0,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9874,,hypothetical protein,4,4,1.0,1,2435,1.0,4844.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9875,,hypothetical protein,4,4,1.0,1,2462,1.0,4877.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9876,,hypothetical protein,4,4,1.0,1,2397,1.0,4876.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9877,,phage protein,4,4,1.0,1,2386,1.0,3220.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9878,,hypothetical protein,4,4,1.0,1,8146,1.0,3219.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9879,,phage terminase,4,4,1.0,1,8147,1.0,3218.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9880,,gp27,4,4,1.0,1,8148,1.0,3217.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9881,,phage protein,4,4,1.0,1,8149,1.0,3216.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9882,,phage protein,4,4,1.0,1,8150,1.0,3215.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9883,,hypothetical protein,4,4,1.0,1,8151,1.0,3214.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9884,,phage protein,4,4,1.0,1,8097,1.0,2893.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9885,,phage protein,4,4,1.0,1,8037,1.0,2847.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9886,,putative minor capsid protein,4,4,1.0,1,647,1.0,2861.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9887,,minor capsid protein,4,4,1.0,1,648,1.0,5589.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9888,,phage protein,4,4,1.0,1,649,1.0,5590.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9889,,hypothetical protein,4,4,1.0,1,659,1.0,5588.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9890,,phage protein,4,4,1.0,1,657,1.0,3119.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9891,,prophage Lp1 protein 51,4,4,1.0,1,656,1.0,3120.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9892,,putative membrane metallo-endo-peptidase,4,4,1.0,1,655,1.0,3121.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9893,,phage holin LL-H family,4,4,1.0,1,8355,1822.0,2.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9894,lytA_2,autolysin,4,4,1.0,1,8354,1822.0,1.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9897,,FIG01114328: hypothetical protein,4,4,1.0,1,449,1.0,4064.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9898,,hypothetical protein,4,4,1.0,1,309,1.0,3985.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9899,,XRE family transcriptional regulator,4,4,1.0,1,421,1.0,3863.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9900,,virulence protein,4,4,1.0,1,219,1.0,3864.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9918,,hypothetical protein,4,4,1.0,1,683,1.0,5732.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9920,,endonuclease/exonuclease/phosphatase,4,4,1.0,1,685,1.0,5730.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9955,,hypothetical protein,4,4,1.0,1,5258,1.0,4103.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9996,copG,hypothetical protein,4,4,1.0,4,3,41.0,1.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9997,repB,Replication protein RepB,4,4,1.0,4,4,41.0,2.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9998,,hypothetical protein,4,4,1.0,4,5,41.0,3.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_9999,,hypothetical protein,4,4,1.0,4,6,41.0,4.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_10002,,hypothetical protein,3,3,1.0,1,686,1.0,5729.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_10005,,hypothetical protein,3,3,1.0,1,5251,1.0,4155.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
drrA_2,,ABC transporter ATP-binding protein,3,3,1.0,1,6397,710.0,4.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_10058,lytA_6,pneumococcal surface protein A,3,3,1.0,1,6692,682.0,2.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
lytB_6,,choline-binding protein Cbp5,3,3,1.0,1,6693,682.0,1.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_10062,yqgN,5-formyltetrahydrofolate cyclo-ligase,3,3,1.0,1,2190,872.0,1.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_10063,,hypothetical protein,3,3,1.0,1,2693,2200.0,1.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_10065,,hypothetical protein,3,3,1.0,1,6627,1.0,3441.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_10141,gspA_3,glycosyltransferase,3,3,1.0,1,9095,1.0,902.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_10154,aguA,amino acid deiminase superfamily protein,3,3,1.0,1,6403,348.0,1.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_10170,,membrane protein,3,3,1.0,1,3096,1.0,7248.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_10173,,hypothetical protein,3,3,1.0,1,8430,1.0,7054.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_10175,,putative lipoprotein,3,3,1.0,1,624,1.0,5841.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_10294,,hypothetical protein,3,3,1.0,1,280,1.0,3972.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_10366,,hypothetical protein,3,3,1.0,960,6,675.0,10.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_10368,,putative ICE protein,3,3,1.0,960,8,675.0,8.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_10369,copG,hypothetical protein,3,3,1.0,960,7,675.0,7.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_10496,,hypothetical protein,3,3,1.0,1,9647,1.0,1069.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_10691,,putative membrane metallo-endo-peptidase,3,3,1.0,1,8312,1.0,2877.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_10692,,phage protein,3,3,1.0,1,8075,1.0,2899.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_10693,,phage protein,3,3,1.0,1,8060,1.0,2842.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_10694,,phage protein,3,3,1.0,1,8133,1.0,2806.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_10695,,phage conserved hypothetical protein,3,3,1.0,1,8132,1.0,3221.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_10696,,gp27,3,3,1.0,1,8131,1.0,3222.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_10697,,hypothetical protein,3,3,1.0,1,8130,1.0,3223.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_10698,,hypothetical protein,3,3,1.0,1,8129,1.0,3224.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_10699,,prophage LambdaSa2 HNH endonuclease family protein,3,3,1.0,1,8128,1.0,3225.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_10700,,phage protein,3,3,1.0,1,8127,1.0,3226.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_10701,,lactococcus phage M3 family protein,3,3,1.0,1,8126,1.0,3227.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_10702,,phage protein,3,3,1.0,1,2445,1.0,4858.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_10703,,hypothetical protein,3,3,1.0,1,2446,1.0,4859.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_10704,,phage protein,3,3,1.0,1,2447,1.0,4860.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_10705,recT,recombinase RecT,3,3,1.0,1,2449,1.0,4862.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_10838,,hypothetical protein,3,3,1.0,48,2,141.0,1.0,Investigate,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_10927,gpo,gluthatione peroxidase,3,3,1.0,1,829,1.0,5341.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_10928,,membrane protein,3,3,1.0,1,838,1.0,5335.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_10953,,hypothetical protein,3,3,1.0,1,9728,1.0,2446.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_11116,,hypothetical protein,3,3,1.0,1,2753,1.0,3919.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_11117,,hypothetical protein,3,3,1.0,1,2752,1.0,3920.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_11118,dnaD_2,Phage replication protein,3,3,1.0,1,2755,1.0,3921.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_11119,,hypothetical protein,3,3,1.0,1,2907,1.0,3933.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_11125,,phage protein,3,3,1.0,1,1843,1.0,3266.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_11126,,hypothetical protein,3,3,1.0,1,1838,1.0,3260.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_11127,,hypothetical protein,3,3,1.0,1,1837,1.0,3259.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_11128,,hypothetical protein,3,3,1.0,1,1836,1.0,3258.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_11130,,hypothetical protein,3,3,1.0,1,2441,1.0,4855.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_11148,,FIG00648496: hypothetical protein,3,3,1.0,1,3135,1.0,41.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_11172,desK,histidine kinase,3,3,1.0,1,9929,1770.0,1.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
cadX,,cadmium efflux system accessory protein CadX,3,3,1.0,599,2,327.0,6.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_11639,lgrA,Linear gramicidin synthase subunit A,3,3,1.0,1,3799,1443.0,18.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_11650,,hypothetical protein,3,3,1.0,1,3000,1810.0,1.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_11651,macB_5,amino acid ABC transporter ATP-binding protein,3,3,1.0,1,3001,1810.0,2.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_11652,,hypothetical protein,3,3,1.0,1,3031,1.0,7050.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_11769,,phage protein,3,3,1.0,1,5187,1.0,4132.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_11770,,hypothetical protein,3,3,1.0,1,5231,1.0,4100.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_11771,,bacteriophage repressor protein,3,3,1.0,1,2074,1.0,5176.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_11810,zmpD,zinc metalloprotease,3,3,1.0,1,2919,1888.0,1.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_11816,sulB,dihydrofolate synthetase,3,3,1.0,1,906,1169.0,1.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_11859,,binding-protein-dependent transport systems inner membrane component,3,3,1.0,1,9892,552.0,1.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_2900,,hypothetical protein,3,5,1.67,1,8974,1.0,818.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3238,,hypothetical protein,3,4,1.34,1,9013,1.0,791.0,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
res97_3,,Res97 protein,3,4,1.34,349,5,1141.0,6.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3399,,phage protein,3,3,1.0,1,284,1.0,3764.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3453,,hypothetical protein,3,3,1.0,1,9633,1.0,1120.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3520,,FIG01115161: hypothetical protein,3,3,1.0,1,8900,1.0,4494.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3523,,hypothetical protein,3,3,1.0,1,4489,1.0,4719.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3524,,hypothetical protein,3,3,1.0,1,4499,1.0,4733.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3606,,hypothetical protein,3,3,1.0,426,2,558.0,2.0,Investigate,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3608,,hypothetical protein,3,3,1.0,1,7104,126.0,1.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3619,,cell envelope integrity inner membrane protein TolA,3,3,1.0,1,1362,1.0,1446.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3629,,hypothetical protein,3,3,1.0,1,8945,1.0,890.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3637,,hypothetical protein,3,3,1.0,1,9470,1.0,2212.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3648,,hypothetical protein,3,3,1.0,1,9194,1.0,2427.0,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3652,pbpX,penicillin-binding protein 2X,3,3,1.0,1,771,216.0,2.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3658,,hypothetical protein,3,3,1.0,1,9260,1.0,2570.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3660,,hypothetical protein,3,3,1.0,1,1297,1.0,816.0,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3663,,hypothetical protein,3,3,1.0,1,8878,1.0,4581.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
traG_1,,type IV secretion-system coupling protein DNA-binding domain,3,3,1.0,1,8823,1.0,4554.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
ligA_1,,putative DNA polymerase III epsilon subunit,3,3,1.0,1,8907,1.0,4514.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3685,,hypothetical protein,3,3,1.0,1,8875,1.0,4587.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3704,,hypothetical protein,3,3,1.0,1,9551,1.0,942.0,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3732,,transposase,3,3,1.0,352,1,1144.0,1.0,Investigate,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3742,,hypothetical protein,3,3,1.0,1,9344,1.0,2396.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3752,,hypothetical protein,3,3,1.0,1,9086,1.0,885.0,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3754,toxA,choline binding protein J,3,3,1.0,1,4252,217.0,4.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
pac,,cell surface protein,3,3,1.0,1,8898,1.0,4497.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3762,,hypothetical protein,3,3,1.0,1,9017,1.0,2381.0,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3769,mutM,formamidopyrimidine-DNA glycosylase,3,3,1.0,1,4228,1306.0,5.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3772,,hypothetical protein,3,3,1.0,574,2,529.0,1.0,Investigate,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3780,,hypothetical protein,3,3,1.0,1,9579,1.0,2358.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3782,,hypothetical protein,3,3,1.0,916,1,509.0,1.0,Investigate,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3784,,hypothetical protein,3,3,1.0,1,8971,1.0,874.0,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3787,,hypothetical protein,3,3,1.0,1,9660,1.0,940.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3795,,hypothetical protein,3,3,1.0,1,1464,1.0,1397.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3797,,phage integrase,3,3,1.0,1,23,1563.0,1.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3808,,hypothetical protein,3,3,1.0,1,9795,1.0,1114.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3809,,hypothetical protein,3,3,1.0,1,9620,1.0,1155.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3810,,hypothetical protein,3,3,1.0,1,9452,1.0,2476.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3813,,hypothetical protein,3,3,1.0,1,9605,1.0,2529.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3815,,hypothetical protein,3,3,1.0,1,9780,1.0,2548.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3817,,hypothetical protein,3,3,1.0,1,9723,1.0,2275.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3819,,hypothetical protein,3,3,1.0,1,8997,1.0,819.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3820,,hypothetical protein,3,3,1.0,1,9427,1.0,1192.0,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3821,,hypothetical protein,3,3,1.0,1,9059,1.0,825.0,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3822,,hypothetical protein,3,3,1.0,797,1,1744.0,1.0,Investigate,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3827,brpA,regulator of lytrabc operon,3,3,1.0,1,8416,422.0,1.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3834,,hypothetical protein,3,3,1.0,1,1116,2008.0,1.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3840,,hypothetical protein,3,3,1.0,1,1322,1.0,1545.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3841,zmpC,putative IgA-specific zinc metalloproteinase,3,3,1.0,1,4464,1.0,4447.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3843,,cell envelope integrity inner membrane protein TolA,3,3,1.0,1,1199,1.0,1520.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3855,,conjugative transposon protein,3,3,1.0,1,4879,1.0,7185.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3857,,hypothetical protein,3,3,1.0,476,3,1127.0,10.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3860,,hypothetical protein,3,3,1.0,1,9575,1.0,2364.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3863,,hypothetical protein,3,3,1.0,727,2,1171.0,2.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3864,,hypothetical protein,3,4,1.34,1,1261,1.0,1403.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3868,ndk,hypothetical protein,3,3,1.0,1,7863,1.0,6934.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3877,,hypothetical protein,3,3,1.0,990,1,1985.0,1.0,Investigate,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3880,,hypothetical protein,3,3,1.0,1,9659,1.0,939.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3881,,hypothetical protein,3,3,1.0,1,1177,1.0,1448.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3886,,hypothetical protein,3,3,1.0,787,1,1512.0,1.0,Investigate,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3890,,hypothetical protein,3,3,1.0,1,9199,1.0,1562.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3891,,hypothetical protein,3,3,1.0,1,1469,1.0,1398.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3895,,hypothetical protein,3,3,1.0,1,9534,1.0,1129.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
group_3899,topB,putative DNA topoisomerase,3,3,1.0,1,4920,1.0,193.0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
